data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,codice_comune,denominazione_comune,abitanti,totale_casi
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014001,Albaredo per San Marco,349,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014002,Albosaggia,3146,3
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014003,Andalo Valtellino,552,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014004,Aprica,1588,5
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014005,Ardenno,3270,8
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014006,Bema,130,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014007,Berbenno di Valtellina,4308,8
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014008,Bianzone,1273,13
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014009,Bormio,4036,25
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014010,Buglio in Monte,2091,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014011,Caiolo,1035,2
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014012,Campodolcino,1037,2
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014013,Caspoggio,1500,10
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014014,Castello dell'Acqua,643,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014015,Castione Andevenno,1562,3
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014016,Cedrasco,455,2
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014017,Cercino,754,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014018,Chiavenna,7297,10
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014019,Chiesa in Valmalenco,2591,6
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014020,Chiuro,2524,7
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014021,Cino,373,2
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014022,Civo,1114,2
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014023,Colorina,1460,2
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014024,Cosio Valtellino,5400,8
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014025,Dazio,424,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014026,Delebio,3173,9
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014027,Dubino,3551,9
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014028,Faedo Valtellino,545,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014029,Forcola,835,2
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014030,Fusine,611,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014031,Gerola Alta,189,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014032,Gordona,1903,10
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014033,Grosio,4619,11
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014034,Grosotto,1615,2
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014036,Lanzada,1372,7
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014037,Livigno,5976,20
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014038,Lovero,667,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014035,Madesimo,540,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014039,Mantello,732,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014040,Mazzo di Valtellina,1041,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014041,Mello,1001,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014043,Mese,1747,2
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014044,Montagna in Valtellina,3031,11
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014045,Morbegno,11786,18
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014046,Novate Mezzola,1814,5
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014047,Pedesina,30,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014048,Piantedo,1321,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014049,Piateda,2309,5
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014050,Piuro,1950,6
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014051,Poggiridenti,1865,5
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014052,Ponte in Valtellina,2304,7
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014053,Postalesio,659,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014054,Prata Camportaccio,2921,4
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014055,Rasura,292,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014056,Rogolo,564,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014057,Samolaco,2884,3
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014058,San Giacomo Filippo,395,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014059,Sernio,500,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014060,Sondalo,4237,16
