data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,nuovi_deceduti,totale_deceduti,nuovi_casi,totale_casi
2020-03-16T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,0,2,54,104
2020-03-17T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,0,2,8,112
2020-03-18T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,7,9,31,143
2020-03-19T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,4,13,42,185
2020-03-20T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,4,17,22,207
2020-03-21T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,3,20,13,220
2020-03-23T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,4,24,45,265
2020-03-24T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,11,35,27,292
2020-03-25T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,4,39,11,303
2020-03-26T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,7,46,20,323
2020-03-27T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,4,50,32,355
2020-03-28T19:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,3,53,44,399
2020-03-30T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,7,60,51,450
2020-03-31T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,19,79,12,462
2020-04-01T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,1,80,15,477
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,5,85,16,493
